TimeStep[s];Np;Nbound;Nfixed;Nmoving;Nfloat;Nfluid
1.50003;4203;0;0;0;0;4203

Pos.x[m];Pos.y[m];Pos.z[m];Idp;Vel.x[m/s];Vel.y[m/s];Vel.z[m/s];Rhop[kg/m^3];Press[Pa];Type;
3.2434928e-01;0.0000000e+00;1.4246705e-01;3337;2.6014466e-03;0.0000000e+00;9.9880388e-04;1.0028754e+03;4.1539673e+03;3;
3.2910287e-01;0.0000000e+00;1.4473525e-01;3338;2.6222174e-03;0.0000000e+00;4.2532996e-04;1.0028486e+03;4.1149272e+03;3;
3.2856691e-01;0.0000000e+00;1.3936178e-01;3409;1.0400703e-03;0.0000000e+00;-1.0740590e-04;1.0025718e+03;3.7120840e+03;3;
3.3368370e-01;0.0000000e+00;1.4181978e-01;3410;1.5450201e-03;0.0000000e+00;3.0603554e-05;1.0030405e+03;4.3947505e+03;3;
3.3395293e-01;0.0000000e+00;1.4693360e-01;3411;2.3115030e-03;0.0000000e+00;4.8629977e-04;1.0028095e+03;4.0580232e+03;3;
3.3275348e-01;0.0000000e+00;1.3686712e-01;3483;4.3697775e-04;0.0000000e+00;-4.0550622e-05;1.0029240e+03;4.2247720e+03;3;
3.2454106e-01;0.0000000e+00;1.4775895e-01;3339;3.8934129e-03;0.0000000e+00;1.5777927e-03;1.0029000e+03;4.1898120e+03;3;
3.2931009e-01;0.0000000e+00;1.5006632e-01;3412;3.4542286e-03;0.0000000e+00;1.2999679e-03;1.0027239e+03;3.9333252e+03;3;
3.3742571e-01;0.0000000e+00;1.3366209e-01;3482;-5.7102158e-04;0.0000000e+00;-6.3679134e-04;1.0031567e+03;4.5642246e+03;3;
3.3878985e-01;0.0000000e+00;1.4360040e-01;3484;1.5914943e-03;0.0000000e+00;-2.4580103e-04;1.0029354e+03;4.2414087e+03;3;
3.3891922e-01;0.0000000e+00;1.4865971e-01;3485;1.9141559e-03;0.0000000e+00;1.0479102e-04;1.0027667e+03;3.9957107e+03;3;
3.4274122e-01;0.0000000e+00;1.3543011e-01;3554;-2.8392609e-04;0.0000000e+00;-8.1489107e-04;1.0031432e+03;4.5445371e+03;3;
3.3813214e-01;0.0000000e+00;1.3866468e-01;3555;5.5177504e-04;0.0000000e+00;-4.4398851e-04;1.0024467e+03;3.5301614e+03;3;
3.4371877e-01;0.0000000e+00;1.4548035e-01;3556;1.3264387e-03;0.0000000e+00;-7.4920122e-04;1.0026366e+03;3.8062935e+03;3;
3.4816366e-01;0.0000000e+00;1.4792691e-01;3614;7.1826577e-04;0.0000000e+00;-5.9060712e-04;1.0027662e+03;3.9949995e+03;3;
3.4781730e-01;0.0000000e+00;1.3674240e-01;3628;4.9395964e-04;0.0000000e+00;-5.6077947e-04;1.0027483e+03;3.9688706e+03;3;
